バックオフィスシステム,,,,,,,テーブル設定書,,,,,,,サブシステム名,,,,,テーブルID,,,,,,,テーブル名,,,,,,,Ver.,,,記入年月日,,,,,更新者,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,次世代領域,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,情報系商品最新マスタ,,,,,,,情報系【情報系マスタ】,,,,,DWH_PD,,,,,,,情報系商品最新マスタ,,,,,,,2.0,,,2019/5/20,,,,,CTC 川井,,,,,,アプリ名,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://9w3ch4cil9qm.cybozu.com/k/242/show#record=1&l.view=20&l.q&l.next=0&l.prev=0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,項目名（物理名）,,,,,,,,,項目名称（論理名）,,,,,,,,,型,,,長さ,,小数,,PK,HK,内容,,,,,,,,,,,,,,,,,,4325,商品コード,商品名称,商品規格,年月日,商品区分,許容期間
26,PACK_GTIN_CD,,,,,,,,,梱ＧＴＩＮコード,,,,,,,,,CHAR,,,14,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
27,MAKER_PROD_CD,,,,,,,,,メーカー商品コード,,,,,,,,,NVARCHAR,,,13,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
28,SELLINGAREA_BUMON,,,,,,,,,売場部門,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
29,CATEGORY_CD_L,,,,,,,,,カテゴリコード(大),,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
30,CATEGORY_CD_MID,,,,,,,,,カテゴリコード(中),,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
31,CATEGORY_CD_S,,,,,,,,,カテゴリコード(小),,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
32,JICFS_PROD_GROUP_CD,,,,,,,,,ＪＩＣＦＳ商品分類コード,,,,,,,,,CHAR,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
33,SELL_YMD,,,,,,,,,発売年月日,,,,,,,,,CHAR,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,●,,
34,RENEWAL_YMD,,,,,,,,,リニューアル年月日,,,,,,,,,CHAR,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,●,,
35,ENDSELL_YMD,,,,,,,,,終売年月日,,,,,,,,,CHAR,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,●,,
36,MRP,,,,,,,,,メーカー希望小売価格,,,,,,,,,NUMERIC,,,9,,2,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
37,OPEN_PRICE_FLG,,,,,,,,,オープン価格フラグ,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
38,MRP_SWITCH_YMD,,,,,,,,,メーカー希望小売価格切替年月日,,,,,,,,,CHAR,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
39,NEW_MRP,,,,,,,,,新メーカー希望小売価格,,,,,,,,,NUMERIC,,,9,,2,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
40,NEW_OPEN_PRICE_FLG,,,,,,,,,新オープン価格フラグ,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
41,CASE_WEIGHT,,,,,,,,,ケース重量,,,,,,,,,INT4,,,9,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
42,WHOLE_INCAPA,,,,,,,,,総内容量,,,,,,,,,NUMERIC,,,5,,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
43,WHOLE_INCAPA_UNIT_CD,,,,,,,,,総内容量単位コード,,,,,,,,,CHAR,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
44,STATISTICS_NET,,,,,,,,,統計容量,,,,,,,,,INT4,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
45,INCAPA_DSP,,,,,,,,,内容量表示,,,,,,,,,NVARCHAR,,,40,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,
46,BARA_WEIGHT,,,,,,,,,バラ重量,,,,,,,,,INT4,,,9,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
47,BOWL_WEIGHT,,,,,,,,,ボール重量,,,,,,,,,INT4,,,9,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
48,BARA_VOLUME,,,,,,,,,バラ容積,,,,,,,,,NUMERIC,,,6,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
49,CONTENTS_VESSEL_FORM_CD,,,,,,,,,内容物容器形態コード,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
50,EXTERIOR_VESSEL_FORM_CD,,,,,,,,,外装容器形態コード,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
51,ORIGN_VESSEL_CD,,,,,,,,,独自容器コード,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
52,RETURNABLE_FLG,,,,,,,,,リターナブルフラグ,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
